#measurement data v1.0
#sensorId:4
#failures:0000011000000000000000000000000010000000000100000000000000000000
#functionalisation:0;2;2;2;2;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;2;2;2;2;2
#baseLevel:2.12.2019 - 18:10:16;1453.666667;1304.733333;1582.233333;1402.8;1417.666667;1700.933333;83438.23333;2122.566667;3575.6;2851.133333;2423.8;347.9;1655.366667;1859.066667;1717.766667;2952.466667;2917.766667;2013.166667;1970.333333;2035.766667;2349.8;1976.566667;2955.8;2696.3;3174.133333;6153.133333;5605.166667;4155.466667;4338.966667;3557.166667;4312.933333;2540.333333;347.9;1857.633333;2067.566667;1918.366667;2154.133333;2668.2;3732.2;2633.666667;3259.1;3106;2659.166667;347.9;1768.3;1404.733333;1476.233333;1675.6;1974.733333;1692.9;1769.366667;1885.466667;2338.5;1452.966667;2510.666667;2781.166667;882.8333333;3864.333333;1396.9;1148.266667;1157.233333;1127.1;1118.4;2009.133333
#baseLevel:2.12.2019 - 18:12:13;1441.866667;1296.9;1567.9;1391.466667;1402.3;1685.9;80991.06667;2075.666667;3518.6;2805.633333;2401.8;347.9;1645.533333;1846.466667;1705.333333;2933.933333;2907.766667;2000.333333;1960.666667;2017.033333;2344.7;1961.833333;2918.333333;2649.4;3123.033333;6036.533333;5506.3;4087.266667;4333.866667;3502;4266.633333;2509.533333;347.9;1835.433333;2040.5;1902.166667;2130.433333;2632.433333;3666.033333;2597.066667;3205.633333;3053.733333;2639.7;347.9;1756.6;1394.966667;1466.8;1668.233333;1971.4;1686.866667;1761.833333;1867.666667;2312.333333;1442.766667;2493.233333;2730.066667;870.1666667;3832.066667;1384.533333;1135.066667;1149.666667;1116.266667;1110.433333;1988.566667
#classes:Wodka[Alk];Wasser[W];Traubensaft[Tr];Apfelsaft[Apf]
#header:timestamp;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11;ch12;ch13;ch14;ch15;ch16;ch17;ch18;ch19;ch20;ch21;ch22;ch23;ch24;ch25;ch26;ch27;ch28;ch29;ch30;ch31;ch32;ch33;ch34;ch35;ch36;ch37;ch38;ch39;ch40;ch41;ch42;ch43;ch44;ch45;ch46;ch47;ch48;ch49;ch50;ch51;ch52;ch53;ch54;ch55;ch56;ch57;ch58;ch59;ch60;ch61;ch62;ch63;ch64;user defined class;detected class
2.12.2019 - 18:10:37;1445;1298.2;1576;1397.2;1408.6;1689.1;81437;2111.3;3551.7;2834.9;2412.9;347.9;1648.6;1852;1712.1;2941.8;2913.8;2007.3;1963;2027.2;2346;1966.9;2938.8;2678.2;3158.8;6101.1;5563.8;4114.4;4334.3;3534.5;4274.8;2518.3;347.9;1848.7;2055.6;1907.5;2136.8;2649.4;3688.8;2608.7;3237.4;3084.4;2646.1;347.9;1761.4;1399.1;1471;1671.4;1965.6;1687;1766.1;1875.1;2320.4;1447.1;2507.4;2747.4;877.8;3861;1391.8;1140.8;1152.6;1119.5;1115.6;1997;;
2.12.2019 - 18:10:39;1445.8;1298.6;1575.2;1396.6;1407;1688.8;82096;2110.1;3547.7;2829.1;2413.8;347.9;1648.4;1852.4;1709.6;2933.2;2913.1;2006.2;1962;2022.9;2345.5;1964.4;2939.3;2676.8;3157.1;6105.4;5556.4;4124.2;4334.2;3531.1;4284.5;2517.1;347.9;1848.1;2057.7;1909.7;2138.3;2653.7;3684.1;2612.3;3235.8;3082.8;2645.7;347.9;1762.9;1400.5;1473.2;1671.2;1965.5;1687.3;1766.3;1874;2323.8;1447.9;2509;2753.6;878.3;3863.6;1393.4;1142;1152.7;1120.5;1115.3;1999.2;;
2.12.2019 - 18:10:41;1447;1299.4;1574.9;1396.4;1408.6;1692.6;83095.9;2109.7;3554.6;2839.9;2414.5;347.9;1649.1;1851.8;1711.5;2934.1;2913.9;2007.9;1962.8;2029.2;2345.7;1965.3;2938.3;2681;3155.5;6108;5559.9;4126.8;4334.6;3537.1;4286.4;2517.5;347.9;1851;2058;1910.9;2139.2;2653.8;3688.4;2609.2;3238.4;3086.8;2645.1;347.9;1764;1400.7;1470.4;1670.2;1965.1;1686.9;1765.3;1874.2;2322.6;1447.8;2508.9;2754.8;878.1;3863.6;1393.4;1142.9;1152.8;1120.4;1116.7;1998.6;;
2.12.2019 - 18:10:43;1448;1299.2;1575.5;1397.3;1408.5;1692.3;82029.5;2107.5;3554.1;2836.3;2414.2;347.9;1648.4;1851.7;1711.7;2931.4;2911.7;2006.2;1962.2;2027.5;2345.5;1966.6;2939.8;2683.9;3156.8;6099.8;5560.7;4123.5;4334.3;3536;4275.2;2513;347.9;1845.2;2055.6;1909.7;2139.4;2651.2;3690.3;2610.5;3237.2;3086.3;2647.6;347.9;1760.7;1399.2;1473.4;1671.9;1966.6;1687.7;1767.4;1877.7;2326.2;1448.6;2509.2;2754.2;878.1;3863.9;1393.8;1143.3;1152.6;1120.7;1116.9;2000.4;;
2.12.2019 - 18:10:45;1446;1297.8;1574.2;1396.1;1409;1690.6;81952.2;2106.7;3558.8;2839.2;2412.1;347.9;1648.6;1850.5;1708.9;2935.3;2911.6;2005.1;1962.2;2028.7;2345.7;1966.6;2937.6;2681.6;3156.9;6104.7;5557.2;4132.4;4334.7;3536.6;4286.3;2518;347.9;1845.2;2056.2;1909.6;2139.1;2650.8;3684.6;2614.2;3243.2;3085.5;2648.1;347.9;1763.1;1399.6;1471.7;1670.3;1966.1;1688.2;1766;1876;2327;1449.5;2509.1;2757.9;878;3863.6;1393.3;1142.2;1153;1120.5;1116.1;1998.8;;
2.12.2019 - 18:10:47;1447;1298.9;1575.2;1395.7;1410;1690.9;81381.9;2108.7;3552.5;2834.7;2412.3;347.9;1649;1850.5;1711.3;2940.9;2913;2006.1;1962.8;2026.4;2345.5;1964.4;2938.7;2683.5;3157.1;6110.3;5557.3;4122.3;4334.8;3538.2;4282.8;2515.8;347.9;1847.7;2056.8;1910;2139.1;2653.8;3691.3;2609.6;3238.3;3086.9;2649.9;347.9;1762.2;1400.1;1469.8;1671.7;1969.7;1687.6;1767.6;1873.4;2325.6;1448.1;2509;2758.5;878;3857.5;1393.5;1141.1;1152.4;1120.7;1116.1;2000.5;;
2.12.2019 - 18:10:48;1447.4;1298.3;1574.8;1396.4;1409.2;1689.4;82004.8;2107.8;3554.6;2835.3;2414;347.9;1648.7;1852.7;1710.8;2942.4;2911.4;2007;1962.3;2025.7;2345.6;1966;2936.9;2681.6;3159.2;6111.9;5573.3;4127.4;4334.9;3539.7;4283.4;2519.4;347.9;1847.3;2057.5;1909.3;2137.9;2650;3683.1;2612.5;3237;3084.3;2650.3;347.9;1763.1;1400;1471.1;1670.9;1968;1687.8;1767.7;1873;2324.4;1448.1;2509;2757.2;877.9;3863.5;1393.1;1143;1152.6;1121.3;1115.7;1999.3;;
2.12.2019 - 18:10:50;1445.2;1298.9;1575;1395;1408.3;1689.1;81489;2104.3;3553.3;2837.1;2411.7;347.9;1649.1;1852.6;1711.4;2941.8;2915;2006.8;1962.7;2024.1;2345.9;1967.5;2936.9;2681.7;3155.4;6108.8;5561.1;4126.1;4334.4;3534.4;4290.1;2522.5;347.9;1848.3;2055.2;1909.8;2138.6;2653.5;3685.5;2609.6;3238.5;3087;2650.5;347.9;1764.5;1400.9;1471.6;1671.5;1972.6;1687.3;1769;1877.5;2326.5;1448.2;2509.2;2750.2;877.7;3861.2;1392.2;1142.6;1153.4;1120.3;1116.6;2001.1;;
2.12.2019 - 18:10:52;1446.7;1297.9;1576.4;1397.3;1409.4;1690.3;81823;2103.8;3550.7;2839.2;2413.4;347.9;1648.2;1855.6;1711.6;2946.4;2914.9;2010;1963.9;2027.6;2345.9;1967.4;2936.8;2682.5;3158.4;6110.5;5552.5;4129.9;4334.6;3530.7;4290.5;2519.4;347.9;1851.1;2058.1;1908.6;2138.2;2658.8;3692.9;2615.5;3233.3;3086.8;2652.7;347.9;1763.3;1401.1;1473;1673.3;1969.5;1688.3;1767.9;1876.1;2321.5;1447.3;2509.1;2761.1;877.7;3858.6;1392.7;1142.4;1152.8;1120.1;1115.6;2002.1;;
2.12.2019 - 18:10:54;1445.2;1298.1;1575;1396.4;1408.4;1689.3;81899.7;2103.2;3545.2;2832.7;2411.4;347.9;1648.7;1854.5;1711.8;2946;2914.3;2010.1;1962.7;2027.3;2346.2;1966.6;2937.8;2681.5;3157;6120.5;5572.9;4130.2;4334.6;3535;4286.5;2519.2;347.9;1848.9;2057.5;1909.2;2137.9;2652.7;3696;2610.6;3236.5;3084;2650;347.9;1763.6;1400.6;1472;1672.3;1973;1688.5;1768.7;1876;2328.4;1448.5;2509.1;2756.2;877.7;3859.6;1392.3;1142.8;1152.6;1120.1;1116.1;2002.6;;
