epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,2.3303185,1.8924817,0.23754808,0.22447059,False,,,1,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-38,1583515838,12.739659786224365,12.739659786224365,5201,Maximilians-MacBook-Pro.local,10.183.65.158,12.739659786224365,0,1,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
1,1.7602825,1.614562,0.23889422,0.41882354,False,,,2,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-40,1583515840,0.4630007743835449,13.20266056060791,5201,Maximilians-MacBook-Pro.local,10.183.65.158,13.20266056060791,0,2,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
2,1.551538,1.3056988,0.37360576,0.4390588,False,,,3,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-40,1583515840,0.4278531074523926,13.630513668060303,5201,Maximilians-MacBook-Pro.local,10.183.65.158,13.630513668060303,0,3,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
3,1.3877829,1.7683446,0.34057692,0.36423528,False,,,4,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-41,1583515841,0.5565860271453857,14.187099695205688,5201,Maximilians-MacBook-Pro.local,10.183.65.158,14.187099695205688,0,4,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
4,1.8419979,1.7301375,0.3010577,0.32611763,False,,,5,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-41,1583515841,0.5167500972747803,14.703849792480469,5201,Maximilians-MacBook-Pro.local,10.183.65.158,14.703849792480469,0,5,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
5,1.6412712,1.487659,0.31658652,0.44282353,False,,,6,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-42,1583515842,0.5108869075775146,15.214736700057983,5201,Maximilians-MacBook-Pro.local,10.183.65.158,15.214736700057983,0,6,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
6,1.489152,1.4293133,0.3741827,0.37741175,False,,,7,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-42,1583515842,0.4380457401275635,15.652782440185547,5201,Maximilians-MacBook-Pro.local,10.183.65.158,15.652782440185547,0,7,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
7,1.4498483,1.3089818,0.35331732,0.45717648,False,,,8,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-43,1583515843,0.5042111873626709,16.156993627548218,5201,Maximilians-MacBook-Pro.local,10.183.65.158,16.156993627548218,0,8,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
8,1.3617443,1.2484398,0.39826924,0.46235293,False,,,9,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-43,1583515843,0.4327518939971924,16.58974552154541,5201,Maximilians-MacBook-Pro.local,10.183.65.158,16.58974552154541,0,9,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
9,1.3409829,1.3098936,0.38466346,0.3950588,False,,,10,1dbfe48ff7184ca0aef1c683d716f31d,2020-03-06_18-30-45,1583515845,0.34578871726989746,16.935534238815308,5201,Maximilians-MacBook-Pro.local,10.183.65.158,16.935534238815308,0,10,351bf0b8,"11_batch_size=128,data_preprocessing=high_pass,dim_hidden=50,lr=0.04957,use_lstm=True"
